time,message
2023-04-19 13:18:25,mi huerto y a vivir la vida
2023-04-19 13:18:46,"MEJOR UNA KUEBA, PUEDES PINTAR BISONTES Y TODO"
2023-04-19 13:18:50,yo ya paso de este sistema
2023-04-19 13:18:53,no aguanto mas
2023-04-19 13:19:00,sería plagio
2023-04-19 13:19:20,ellos pueden disfurtar de la vida y nosotros no?
2023-04-19 13:19:26,Cierren la puerta sin dar golpe.
2023-04-19 13:19:27,a parte tendrías que tener los permisos requeridos y hacerlos según normativa vigente.
2023-04-19 13:19:39,claro
2023-04-19 13:19:41,todo legal
2023-04-19 13:19:45,¿Han dicho algo de las estelas que mandan los aviones en el cielo haciendo redes kilómetricas para cambiar el clima?
2023-04-19 13:19:49,Me he quedado como estaba.
2023-04-19 13:19:58,nos tocara vivir en una cabañita con tus cabritas y tu huerta pa sobrevivir
2023-04-19 13:20:02,jejeje si son nanotecnoligas
2023-04-19 13:20:06,para controlar el clima
2023-04-19 13:20:09,PREFIERO PINTAR BISONTES KEL GOTELÉ
2023-04-19 13:20:12,"Eso es grave, Ang3l."
2023-04-19 13:20:32,las estelas se ha confirmado que el gobierno esta soltando nanotecnologia para controlar el clima
2023-04-19 13:20:49,pero yo pienso que es tambien pra matar el virus
2023-04-19 13:20:56,"los bisontes están pasados de moda, mejor unos Ferraris."
2023-04-19 13:20:58,Tu sí que sabes Angel.
2023-04-19 13:21:05,¿Estos luego van a casa en el metro? ¿no? para no contaminar
2023-04-19 13:21:12,lo mejor es un burro
2023-04-19 13:21:15,eso nunca te falla
2023-04-19 13:21:19,Andando van.
2023-04-19 13:21:24,claro y algunos andando.
