2023-04-19 13:21:44,Mandan tanques a Ucrania que consumen como 50 ferraris de fórmula 1
2023-04-19 13:21:47,la del chófer ya se jubiló
2023-04-19 13:21:51,ejejeje
2023-04-19 13:21:57,pinta unos cuantos mamuts
2023-04-19 13:22:03,sabeis que no estan mandando realmente nada a ucrania?
2023-04-19 13:22:07,pero los tanques son salud.
2023-04-19 13:22:09,estan vendiendolos en otros sitios
2023-04-19 13:22:13,"Cuanta razón, Angel..."
2023-04-19 13:22:23,Y Antonio montando en cazas que consumen como 10 tanques
2023-04-19 13:22:33,quien se lleva las comisiones de lo de Ucrania?
2023-04-19 13:22:52,pero es por nuestra salud.
